,caseno,country,region,add1yr,age,agehrp,aggdtwpew11g,ahchuk11,carer,carsnoc,cenheat,clients01,clients02,clients03,clients04,clients05,clients06,clients07,clients08,clients09,clients10,clients11,clients12,clients13,clients14,clients15,clients16,clients17,clients18,clients19,clients20,clients21,cobg,cobhukrc,concealed,depedhuk11,depemhuk11,dephdhuk11,dephshuk11,deprived,disability,dpcfamuk11,ecopuk,empstat,estnaturei,ethhuk11,ethnicityew,everwork,fmspuk11,health,hhldlang11,hlqupuk11,hours,housecarer,identity,illhuk11g,indgpuk11,intention,iscog,landlordew,langprf,larpuk,lastyrwrkg,mainglangg,marstat,meighuk11,mighuk11,mltrlg,movefromg,moveregion,natidbpuk11,natidepuk11,natidipuk11,natidnipuk11,natidopuk11,natidspuk11,natidwpuk11,nssec,nsshuk11,occg,passports,penexactpuk11,penhuk11,penpuk11,popbasesec,position,pproomhuk11,psptelog,relato,religionew,residtype,rtntypeg,samesex,scaddtyp,scghuk11,scgpuk11c,selfcon,sex,single,sizhuk,socmin,sscaddcpew11,stapuk11,student,supervisor,tenduk11,tenure,transport,typaccom,unemphist,visitorsg,wg1famuk11,wkpladdewni,wlshread,wlshspeak,wlshstnd,wlshwrit,wpzhome,wrkplaceew,yradindstud,yrarryearg
600791,485681,1,3,2,2,28,-9,6,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,2,-9,-9,-9,1,1,-9,4,1,1,-9,-9,0,-9,0,-9,-9,-9,3,-9,4,-9,-9,1,2,1,2,1,4,3,1,7,4,3,4,4,-9,26,-9,8,0,-9,0,1,-9,2,-9,4,2,2,2,-9,-9,4,-9,1,1,2,3,-9,1,-9,1,-9,5,4,-9,3,-9,0,2,-9,-9,-9,-9,-9,-9,-9,0,-9
825887,892447,1,4,1,42,42,3,2,4,4,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,19,19,-9,1,0,0,0,2,3,-9,1,1,-9,7,7,-9,2,3,1,11,2,1,-9,0,17,-9,53,2,-9,7,1,1,4,1,0,1,1,-9,3,1,7,4,3,4,4,25,25,61,1,0,-9,0,1,-9,1,-9,-9,7,2,1,-9,-9,3,3,1,2,1,1,614,1,-9,2,2,3,4,7,3,-9,3,-9,1,-9,-9,-9,-9,4,4,0,5
1005175,1060024,1,9,1,57,60,2,7,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,2,2,0,0,0,0,1,3,1,2,1,-9,1,1,-9,3,2,1,13,3,0,-9,0,3,-9,44,3,-9,1,1,1,2,2,2,3,1,-9,3,1,7,4,3,4,4,13,33,41,1,0,-9,0,1,-9,1,-9,1,1,2,1,-9,-9,4,4,1,2,2,2,415,1,-9,2,2,5,4,7,2,-9,0,2,1,-9,-9,-9,-9,3,3,0,-9
1516577,320229,1,7,-9,18,50,-9,10,-9,2,7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,13,-9,0,0,0,0,1,-9,-9,-9,-9,-9,14,-9,-9,-9,-9,3,-9,-9,0,-9,0,-9,-9,-9,2,-9,-9,-9,-9,1,3,0,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,21,-9,-9,-9,-9,-9,2,-9,2,-9,4,-9,2,-9,-9,-8,2,-9,1,1,2,3,-9,-9,-9,1,-9,3,4,-9,4,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2139315,1699632,2,11,1,16,51,-9,10,1,3,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,13,2,0,0,0,0,1,3,13,13,-9,-9,1,1,2,4,1,1,12,-9,0,-9,0,-9,-9,-9,-9,-9,4,-9,1,1,2,0,5,1,-9,1,4,7,4,3,4,4,38,7,-9,1,0,-9,0,1,-9,1,-9,4,1,2,1,-9,-9,2,2,1,1,2,4,-9,1,1,1,-9,1,2,-9,1,13,0,1,-9,0,0,0,0,-9,-9,0,-9
1530059,185374,1,2,1,58,58,5,7,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,1,0,1,0,3,3,1,2,1,-9,1,1,-9,3,2,1,10,3,0,-9,1,3,-9,73,-9,-9,1,1,1,2,2,0,2,1,-9,2,2,7,4,3,4,4,22,22,54,1,0,-9,0,1,-9,1,-9,-9,2,2,1,-9,-9,3,3,1,1,2,2,542,1,-9,2,2,0,1,7,3,-9,0,2,1,-9,-9,-9,-9,4,4,0,-9
873603,2828627,1,9,1,38,67,1,10,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,3,2,0,0,1,0,2,3,1,2,1,-9,1,1,-9,5,2,1,11,3,0,-9,1,3,-9,44,-9,-9,4,1,1,1,2,0,2,1,-9,3,1,7,4,3,4,4,13,24,41,8,0,8,0,1,-9,1,-9,4,2,2,1,-9,-9,-9,4,1,1,2,3,415,1,-9,2,2,0,1,9,2,-9,0,1,1,-9,-9,-9,-9,3,3,0,-9
2038869,2276964,1,2,1,31,39,3,7,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,1,2,1,-9,1,1,-9,3,3,1,14,3,0,-9,0,4,-9,42,-9,-9,3,1,1,1,2,0,5,1,-9,3,1,7,4,3,4,4,14,19,72,1,0,-9,0,1,-9,1,-9,3,2,2,1,-9,-9,3,3,1,2,2,2,721,1,-9,2,2,1,2,4,2,-9,0,2,1,-9,-9,-9,-9,3,3,0,-9
2811482,18240,1,9,1,16,-9,-9,-9,1,-9,-9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17,-9,-9,-9,-9,-9,-9,-9,3,-9,13,-9,3,-9,12,2,9,1,-9,12,-9,-9,11,-9,-9,-9,-9,-9,2,-9,-9,9,1,-9,-9,-9,1,-9,3,4,7,4,1,4,4,38,-9,-9,7,0,-9,0,1,1,-9,20,-9,3,1,1,-9,3,-9,-9,-9,2,-9,-9,-9,6,3,1,-9,-9,-9,-9,-9,13,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,10
1134831,301525,1,8,1,56,56,-9,2,1,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,24,24,-9,1,1,0,0,3,3,-9,7,1,-9,15,15,1,2,2,1,11,-9,0,-9,0,14,-9,33,-9,-9,4,4,1,1,1,0,1,1,-9,1,4,7,4,3,4,4,37,37,42,1,0,-9,0,1,-9,1,-9,-9,2,2,1,-9,-9,2,2,1,2,1,1,421,1,-9,2,2,0,1,-9,4,4,0,-9,-9,-9,-9,-9,-9,-9,-9,0,4
